uri_s,count
https://hal.archives-ouvertes.fr/hal-01478052,0
https://halshs.archives-ouvertes.fr/halshs-01744083,0
https://hal.archives-ouvertes.fr/hal-02003078,0
https://halshs.archives-ouvertes.fr/halshs-01503848,1
https://hal.archives-ouvertes.fr/hal-01508585,1
https://halshs.archives-ouvertes.fr/halshs-02799707v2,2
https://hal.archives-ouvertes.fr/hal-03194928,3
https://hal.archives-ouvertes.fr/hal-01477138,0
https://hal.archives-ouvertes.fr/hal-01478059,0
https://hal.archives-ouvertes.fr/hal-01396183,1
https://halshs.archives-ouvertes.fr/halshs-01885446,0
https://halshs.archives-ouvertes.fr/halshs-01394838,0
https://hal.archives-ouvertes.fr/hal-01678947,0
https://hal-paris1.archives-ouvertes.fr/hal-03261452,3
https://hal.archives-ouvertes.fr/hal-03185523,0
https://halshs.archives-ouvertes.fr/halshs-01509773,0
https://halshs.archives-ouvertes.fr/halshs-02334592,0
https://hal.archives-ouvertes.fr/hal-02523864,0
https://hal.archives-ouvertes.fr/hal-02196025,1
https://halshs.archives-ouvertes.fr/halshs-01970967,1
https://halshs.archives-ouvertes.fr/halshs-02344270,0
https://hal.archives-ouvertes.fr/hal-01952988,0
https://hal.archives-ouvertes.fr/hal-02510463,1
https://halshs.archives-ouvertes.fr/halshs-01493387,1
https://halshs.archives-ouvertes.fr/halshs-03165772,0
https://hal.archives-ouvertes.fr/hal-02866885,0
https://hal.archives-ouvertes.fr/hal-01907506,0
https://hal.archives-ouvertes.fr/hal-02958760,0
https://hal.archives-ouvertes.fr/hal-02965970,0
https://hal.archives-ouvertes.fr/hal-03185526,4
https://hal.archives-ouvertes.fr/hal-02383550,3
https://hal.archives-ouvertes.fr/hal-01438848,0
https://halshs.archives-ouvertes.fr/halshs-01744079,0
https://halshs.archives-ouvertes.fr/halshs-03161820,0
https://halshs.archives-ouvertes.fr/halshs-03165773,0
https://hal.archives-ouvertes.fr/hal-02958758,2
https://hal.archives-ouvertes.fr/hal-01476440,0
https://hal.archives-ouvertes.fr/hal-01396680,2
https://halshs.archives-ouvertes.fr/halshs-01905998,2
https://halshs.archives-ouvertes.fr/halshs-01802873,0
https://halshs.archives-ouvertes.fr/halshs-01476509,1
https://hal.archives-ouvertes.fr/hal-01438970,0
https://halshs.archives-ouvertes.fr/halshs-01524885,0
https://halshs.archives-ouvertes.fr/halshs-02400609,0
https://hal.archives-ouvertes.fr/hal-02866828,1
https://hal.archives-ouvertes.fr/hal-01478152,1
https://halshs.archives-ouvertes.fr/halshs-02400628,0
https://hal.archives-ouvertes.fr/hal-01688874,0
https://hal.archives-ouvertes.fr/hal-01659787,0
https://hal.archives-ouvertes.fr/hal-01730591,0
https://hal.archives-ouvertes.fr/hal-01684091,0
https://halshs.archives-ouvertes.fr/halshs-02167663,0
https://halshs.archives-ouvertes.fr/halshs-02265298,0
https://hal.archives-ouvertes.fr/hal-03171653,0
https://halshs.archives-ouvertes.fr/halshs-02955449,0
https://hal.archives-ouvertes.fr/hal-01933895,0
https://halshs.archives-ouvertes.fr/halshs-02097536,0
https://hal.archives-ouvertes.fr/hal-01437441,1
https://hal-paris1.archives-ouvertes.fr/hal-01461302,1
https://hal.archives-ouvertes.fr/hal-02865160,0
https://hal.archives-ouvertes.fr/hal-03199108,0
https://halshs.archives-ouvertes.fr/halshs-02265287,0
https://hal.archives-ouvertes.fr/hal-01730664,0
https://halshs.archives-ouvertes.fr/halshs-01883583,0
https://halshs.archives-ouvertes.fr/halshs-02354709,0
https://hal.archives-ouvertes.fr/hal-02112904,0
https://hal.archives-ouvertes.fr/hal-02493250,0
https://hal.archives-ouvertes.fr/hal-03252106,0
https://halshs.archives-ouvertes.fr/halshs-01835164,0
https://hal.archives-ouvertes.fr/hal-03252205,0
https://hal.archives-ouvertes.fr/hal-03217432,0
https://hal.archives-ouvertes.fr/hal-03219314,0
https://hal.archives-ouvertes.fr/hal-03219324,0
https://hal.archives-ouvertes.fr/hal-02366058,0
https://hal.archives-ouvertes.fr/hal-03219329,0
https://hal.archives-ouvertes.fr/hal-03219320,0
https://hal.archives-ouvertes.fr/hal-03102681,0
https://hal.archives-ouvertes.fr/hal-03023385,0
https://hal.archives-ouvertes.fr/hal-02866804,0
https://hal.archives-ouvertes.fr/hal-02153101,0
